actual_year,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_year,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
YEAR,JUN,JUL,AUG,SEP,JUN-SEP,YEAR,JUN,JUL,AUG,SEP,JUN-SEP
1963,143.0,185.6,241.3,111.1,681.0,1963,-11.2,-9.2,26.6,-30.6,-4.9
1964,123.2,248.8,217.9,250.6,840.5,1964,-23.5,21.7,14.3,56.6,17.4
1965,136.6,214.8,174.7,137.0,663.2,1965,-15.2,5.0,-8.3,-14.4,-7.4
1966,109.0,235.0,142.0,185.0,671.0,1966,-32.3,14.9,-25.5,15.6,-6.3
1967,143.8,271.9,155.1,119.3,690.2,1967,-10.7,33.0,-18.6,-25.4,-3.6
1968,138.7,260.4,89.4,195.4,684.0,1968,-13.9,27.3,-53.1,22.1,-4.5
1969,125.0,239.0,174.0,131.5,669.5,1969,-22.4,16.9,-8.7,-17.8,-6.5
1970,155.7,195.6,254.8,150.2,756.3,1970,-3.3,-4.4,33.7,-6.1,5.6
1971,177.7,155.1,167.1,143.9,643.8,1971,10.4,-24.2,-12.3,-10.1,-10.1
1972,145.4,176.3,89.7,145.3,556.7,1972,-9.7,-13.8,-52.9,-9.2,-22.3
1973,161.7,191.2,223.0,118.2,694.2,1973,0.4,-6.5,17.0,-26.1,-3.1
1974,102.5,217.4,159.8,213.9,693.6,1974,-36.3,6.3,-16.2,33.7,-3.1
1975,200.6,240.9,215.1,235.8,892.4,1975,24.6,17.8,12.9,47.4,24.6
1976,90.7,244.7,207.9,95.7,639.1,1976,-43.7,19.7,9.1,-40.2,-10.8
1977,160.0,213.3,166.2,112.2,651.6,1977,-0.6,4.3,-12.8,-29.9,-9.0
1978,197.1,258.1,223.5,165.1,843.7,1978,22.4,26.2,17.3,3.2,17.8
1979,152.9,173.5,148.5,215.1,689.9,1979,-5.0,-15.2,-22.1,34.4,-3.7
1980,212.5,212.8,199.3,118.2,742.8,1980,32.0,4.1,4.6,-26.1,3.7
1981,186.2,203.8,229.0,256.5,875.5,1981,15.7,-0.3,20.1,60.3,22.3
1982,150.3,200.2,183.8,129.2,663.5,1982,-6.6,-2.1,-3.6,-19.3,-7.3
1983,157.2,220.9,286.6,250.3,914.9,1983,-2.4,8.0,50.4,56.4,27.8
1984,161.0,257.3,102.0,141.5,661.9,1984,0.0,25.8,-46.5,-11.6,-7.6
1985,190.7,166.8,159.4,108.0,624.9,1985,18.4,-18.4,-16.4,-32.5,-12.7
1986,162.2,140.2,216.9,129.7,648.9,1986,0.7,-31.4,13.8,-18.9,-9.4
1987,141.3,119.2,185.7,111.1,557.3,1987,-12.2,-41.7,-2.6,-30.6,-22.2
1988,112.9,305.7,253.1,235.5,907.3,1988,-29.9,49.5,32.8,47.2,26.7
1989,175.6,301.8,156.2,173.2,806.8,1989,9.1,47.6,-18.0,8.2,12.7
1990,158.3,159.6,228.9,115.7,662.5,1990,-1.7,-22.0,20.1,-27.7,-7.5
1991,269.5,238.1,161.0,126.0,794.6,1991,67.4,16.4,-15.5,-21.3,11.0
1992,181.9,198.9,203.4,139.9,724.1,1992,13.0,-2.7,6.7,-12.6,1.1
1993,130.2,224.8,152.7,124.6,632.3,1993,-19.1,9.9,-19.9,-22.1,-11.7
1994,162.0,274.7,175.1,90.6,702.3,1994,0.6,34.3,-8.1,-43.4,-1.9
1995,124.9,249.2,199.6,135.3,709.0,1995,-22.4,21.9,4.7,-15.4,-1.0
1996,213.4,194.8,205.8,188.8,802.8,1996,32.5,-4.7,8.0,18.0,12.1
1997,147.0,244.6,197.1,168.5,757.3,1997,-8.7,19.6,3.4,5.3,5.8
1998,165.3,229.4,214.6,219.3,828.5,1998,2.7,12.2,12.6,37.1,15.7
1999,141.1,213.2,142.1,110.1,606.5,1999,-12.4,4.3,-25.4,-31.2,-15.3
2000,195.5,169.7,289.8,134.8,789.8,2000,21.4,-17.0,52.0,-15.7,10.3
2001,150.2,147.2,154.7,154.9,606.9,2001,-6.7,-28.0,-18.8,-3.2,-15.2
2002,136.4,89.3,172.3,68.9,466.9,2002,-15.3,-56.3,-9.6,-56.9,-34.8
2003,131.3,203.0,164.1,86.1,584.5,2003,-18.4,-0.7,-13.9,-46.2,-18.4
2004,144.5,174.6,140.2,143.1,602.3,2004,-10.2,-14.6,-26.4,-10.6,-15.9
2005,138.0,281.7,156.4,217.8,793.7,2005,-14.3,37.8,-17.9,36.1,10.8
2006,159.0,161.7,180.9,188.5,690.1,2006,-1.2,-20.9,-5.1,17.8,-3.6
2007,241.8,216.5,223.3,227.0,908.6,2007,50.2,5.9,17.2,41.9,26.9
2008,135.1,174.9,242.6,147.3,699.9,2008,-16.1,-14.5,27.3,-7.9,-2.3
2009,110.4,221.8,155.7,193.7,681.7,2009,-31.4,8.5,-18.3,21.1,-4.8
2010,161.1,273.6,227.0,172.8,834.6,2010,0.1,33.8,19.1,8.0,16.5
2011,156.9,213.6,212.9,125.8,709.2,2011,-2.5,4.4,11.7,-21.4,-1.0
2012,109.9,179.8,206.3,145.2,641.3,2012,-31.7,-12.1,8.2,-9.3,-10.4
2013,205.1,279.7,168.1,180.2,833.1,2013,27.4,36.8,-11.8,12.6,16.3
2014,94.7,204.4,228.8,136.4,664.4,2014,-41.2,0.0,20.0,-14.8,-7.2
2015,186.8,114.0,147.3,157.5,605.5,2015,16.0,-44.3,-22.7,-1.6,-15.4
2016,198.3,191.2,110.0,161.8,661.2,2016,23.2,-6.5,-42.3,1.1,-7.7
2017,170.8,140.1,208.7,197.1,716.7,2017,6.1,-31.5,9.5,23.2,0.1
2018,182.5,200.2,221.2,96.9,700.9,2018,13.4,-2.1,16.1,-39.4,-2.1
2019,112.2,192.8,293.9,239.3,838.2,2019,-30.3,-5.7,54.2,49.6,17.1
2020,171.9,251.3,256.2,259.4,938.8,2020,6.8,22.9,34.4,62.1,31.1
2021,166.4,275.5,168.4,195.1,805.4,2021,3.4,34.7,-11.6,21.9,12.5
2022,138.9,328.1,242.2,166.8,876.1,2022,-13.7,60.4,27.1,4.2,22.3
