year,.fitted,.resid,elnino_yield,neutral_yield,lanina_yield,elnino_resid,neutral_resid,lanina_resid
1966,0.7145475091193304,-0.021667886988812612,,0.6928796221305178,,,0.6928796221305178,
1967,0.7328533911369713,-0.015465583035134456,,0.7173878081018369,,,0.7173878081018369,
1968,0.7509634644599698,-0.01675150079197474,,0.734211963667995,,,0.734211963667995,
1969,0.7688357871076567,-0.005245309945586696,,0.76359047716207,,,0.76359047716207,
1970,0.7864284170993624,0.006892494603587984,,,0.7933209117029504,,,0.7933209117029504
1971,0.8036994124544176,0.03917419853121795,,,0.8428736109856355,,,0.8428736109856355
1972,0.8206068311921527,-0.025361180889035828,0.7952456503031169,,,0.7952456503031169,,
1973,0.8370826341155742,0.061640931117952213,,,0.8987235652335264,,,0.8987235652335264
1974,0.8531613208487853,-0.009811899273179159,,,0.8433494215756061,,,0.8433494215756061
1975,0.8689547576427635,0.03283969664812447,,,0.901794454290888,,,0.901794454290888
1976,0.8845748107484865,-0.09497487613092781,,0.7895999346175587,,,0.7895999346175587,
1977,0.9001333464169312,0.06019343723311932,,0.9603267836500505,,,0.9603267836500505,
1978,0.9157422308990751,0.06367042323993422,,,0.9794126541390094,,,0.9794126541390094
1979,0.9308182360571162,0.027106785282112522,,0.9579250213392287,,,0.9579250213392287,
1980,0.9449420812976975,0.013741936590589088,,0.9586840178882866,,,0.9586840178882866,
1981,0.9584715541884661,0.07256473595146895,,1.031036290139935,,,1.031036290139935,
1982,0.9717644422970677,-0.022138537204126507,0.9496259050929412,,,0.9496259050929412,,
1983,0.9851785331911489,0.005606563978484802,,0.9907850971696337,,,0.9907850971696337,
1984,0.999071614438356,-0.02201638158922814,,,0.9770552328491279,,,0.9770552328491279
1985,1.013801473606335,-0.01962128610647529,,,0.9941801874998597,,,0.9941801874998597
1986,1.0303253799466991,-0.045666686743894735,,0.9846586932028044,,,0.9846586932028044,
1987,1.0486705891989423,-0.08180559879349392,0.9668649904054484,,,0.9668649904054484,,
1988,1.0677998686625323,0.006752876901772842,,,1.0745527455643051,,,1.0745527455643051
1989,1.0866759856369377,-0.008163550664247676,,,1.07851243497269,,,1.07851243497269
1990,1.1042617074216259,-0.041898964119868376,,1.0623627433017575,,,1.0623627433017575,
1991,1.1195198013160643,-0.0014435300296422593,,1.118076271286422,,,1.118076271286422,
1992,1.1318377098052927,0.019850403433327113,,1.1516881132386199,,,1.1516881132386199,
1993,1.1419517996272597,0.06779762781065068,,1.2097494274379104,,,1.2097494274379104,
1994,1.1508482244607985,0.06504758413853184,,1.2158958085993303,,,1.2158958085993303,
1995,1.159513137984743,0.038177121154511884,,1.1976902591392549,,,1.1976902591392549,
1996,1.168932693877926,0.0039052775805257234,,1.1728379714584518,,,1.1728379714584518,
1997,1.1800930458191814,-0.06999044018278533,1.110102605636396,,,1.110102605636396,,
1998,1.1939803474873423,0.1461316235889114,,,1.3401119710762537,,,1.3401119710762537
1999,1.2087799370602388,0.08466531325622695,,,1.2934452503164657,,,1.2934452503164657
2000,1.222861677294163,0.17881066847024574,,,1.4016723457644087,,,1.4016723457644087
2001,1.2374885087356429,0.018092698778645833,,1.2555812075142887,,,1.2555812075142887,
2002,1.2539233719312062,-0.25397043237214667,0.9999529395590595,,,0.9999529395590595,,
2003,1.2734292074273799,-0.2577239632259545,,1.0157052442014254,,,1.0157052442014254,
2004,1.297268955770692,-0.13150143745604415,,1.1657675183146479,,,1.1657675183146479,
2005,1.324303161133303,-0.06067004732276504,,1.2636331138105379,,,1.2636331138105379,
2006,1.3527489673481836,-0.026613456695437465,,1.3261355106527462,,,1.3261355106527462,
2007,1.382904214453078,0.11943023395837171,,,1.5023344484114498,,,1.5023344484114498
2008,1.4150667424857304,-0.0213751793610919,,1.3936915631246385,,,1.3936915631246385,
2009,1.449534391483883,-0.15091665065155002,1.298617740832333,,,1.298617740832333,,
2010,1.486605001485281,0.040884024226536475,,,1.5274890257118174,,,1.5274890257118174
2011,1.526576412527667,0.15404021407259738,,1.6806166266002645,,,1.6806166266002645,
2012,1.5694951411054914,-0.11577084136576743,,1.453724299739724,,,1.453724299739724,
2013,1.615124193931329,0.1394108312019302,,1.7545350251332592,,,1.7545350251332592,
2014,1.6633361463701144,0.0737916774965699,,1.7371278238666843,,,1.7371278238666843,
2015,1.714003573786782,-0.22647162800153908,1.487531945785243,,,1.487531945785243,,
2016,1.7669990515462648,-0.14105203552524603,,1.6259470160210188,,,1.6259470160210188,
2017,1.822195155013497,0.23545428543057323,,2.05764944044407,,,2.05764944044407,
